region,year,invest_total_mln_rub,sports_facilities_count,sports_facilities_per_10k_rural_pop,sports_schools_count,retail_shops_count,retail_shops_per_10k_rural_pop,catering_units_count,catering_units_per_10k_rural_pop,service_units_count,service_units_per_10k_rural_pop,household_service_points_count,household_service_points_per_10k_rural_pop,post_offices_count,post_offices_per_10k_rural_pop,housing_input_total_thousand_m2,housing_input_individual_share_percent,waste_removal_objects_count,container_sites_count,length_streets_total_km,length_streets_hard_surface_km,length_local_roads_km,length_hard_surface_roads_km,natural_resource_enterprises_count,natural_resource_enterprises_per_10k_rural_pop,fixed_assets_total_mln_rub,fixed_assets_per_capita_rub,housing_stock_total,housing_stock_per_capita,infrastructure_stock_total,infrastructure_stock_per_capita,health_facilities_count,health_facilities_per_10k_rural_pop,tourist_beds_count,tourist_beds_per_10k_rural_pop
Архангельская область (кроме Hенецкого автономного округа),2022,,,,,,,,,,,,,,,,,,,,,,,,,30.0,452.0,1547.0,20418.0,639.0,7800.0,,,,
Архангельская область (кроме Hенецкого автономного округа),2023,,,,,,,,,,,,,,,,,,,,,,,,,30.0,452.0,1547.0,20418.0,639.0,7800.0,,,,
Архангельская область (кроме Ненецкого автономного округа),2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,
Архангельская область (кроме Ненецкого автономного округа),2022,309185.0,870.0,798.0,8.0,,,26.0,999.0,,,26.0,3.0,3284.0,2643.0,120415.0,,587.98,88.73,5532.2,2883.4,9684.6,3168.8,29.0,2.0,,,,,,,513.0,,46.0,
Архангельская область (кроме Ненецкого автономного округа),2023,42095.0,,,,,,,,,,,,,,,,,,,,9681.0,3160.2,,,,,,,,,,,86.0,1494.0
Архангельская область (кроме Ненецкого автономного округа),2024,13430.0,863.0,784.0,8.0,,,,,,,28.0,1.0,,,,,758.0,86.84,5887.8,3016.3,9553.2,3167.9,16.0,1055.0,,,,,,,488.0,,85.0,1543.0
Астраханская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.0,2873.0
Астраханская область,2022,45632.0,668.0,655.0,4.0,,,63.0,1799.0,,,24.0,1.0,347.0,320.0,91772.0,,603.19,65.62,3139.3,977.5,2767.6,777.6,160.0,29.0,42.0,269.0,814.0,6302.0,380.0,2716.0,242.0,,170.0,2894.0
Астраханская область,2023,378435.0,,,,,,,,,,,,,,,,,,,,3029.3,904.9,,,42.0,269.0,814.0,6302.0,380.0,2716.0,,,216.0,3392.0
Астраханская область,2024,524748.0,674.0,661.0,4.0,,,,,,,31.0,,,,,,534.9045,62.9228,3262.9,1061.05,3050.8,913.2,161.0,11147.0,,,,,,,245.0,,240.0,3888.0
Белгородская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,507.0
Белгородская область,2022,525815.0,3195.0,3110.0,15.0,,,134.0,2634.0,,,17.0,3.0,1487.0,1313.0,473329.0,,1603.11,459.81,12501.3,9106.3,10590.9,9054.6,221.0,112.0,12.0,486.0,218.0,21440.0,61.0,13970.0,649.0,,18.0,509.0
Белгородская область,2023,273363.0,,,,,,,,,,,,,,,,,,,,11746.9,10208.1,,,12.0,486.0,218.0,21440.0,61.0,13970.0,,,65.0,1827.0
Белгородская область,2024,343171.0,3139.0,3060.0,14.0,,,,,,,23.0,4.0,,,,,1534.264,317.1366,12036.4,9647.448,10814.1,9597.4,217.0,8986.0,,,,,,,677.0,,72.0,1990.0
Брянская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,1160.0
Брянская область,2022,241226.0,1452.0,1410.0,14.0,,,31.0,888.0,,,11.0,2.0,2419.0,1981.0,169954.0,,750.54,130.79,8931.2,3842.8,7193.1,2795.5,171.0,60.0,30.0,271.0,492.0,10880.0,255.0,4604.0,651.0,,46.0,1453.0
Брянская область,2023,179951.0,,,,,,,,,,,,,,,,,,,,8490.5,3415.5,,,30.0,271.0,492.0,10880.0,255.0,4604.0,,,59.0,1600.0
Брянская область,2024,228052.0,1251.0,1217.0,12.0,,,,,,,12.0,,,,,,957.2352,135.0419,8589.6,4030.9,8583.0,3443.0,165.0,4671.0,,,,,,,645.0,,58.0,1580.0
Владимирская область,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76.0,3014.0
Владимирская область,2022,686936.0,1240.0,1106.0,2.0,,,40.0,1779.0,,,12.0,2.0,2312.0,1502.0,234121.0,,1053.38,125.27,5682.6,4732.9,6868.0,3012.5,139.0,98.0,30.0,315.0,718.0,7781.0,356.0,2638.0,388.0,,78.0,3170.0
